EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,MortFleetGroup

timestep,fleet,group,value
80,3,20,0.0001545894
80,3,41,0.03451179
80,3,45,0.005274914
81,1,22,0.08660508
81,2,7,0.0001891398
81,3,15,0.0003369485
81,3,20,0.0001545894
81,3,41,0.03451179
81,3,45,0.005274914
82,1,22,0.08660508
82,2,7,0.0001891398
82,3,15,0.0003369485
82,3,20,0.0001545894
82,3,41,0.03451179
82,3,45,0.005274914
83,1,22,0.08660508
83,2,7,0.0001891398
83,3,15,0.0003369485
83,3,20,0.0001545894
83,3,41,0.03451179
83,3,45,0.005274914
84,1,22,0.08660508
84,2,7,0.0001891398
84,3,15,0.0003369485
84,3,20,0.0001545894
84,3,41,0.03451179
84,3,45,0.005274914
85,1,22,0.08660508
85,2,7,0.0001891398
85,3,15,0.0003369485
85,3,20,0.0001545894
85,3,41,0.03451179
85,3,45,0.005274914
86,1,22,0.08660508
86,2,7,0.0001891398
86,3,15,0.0003369485
86,3,20,0.0001545894
86,3,41,0.03451179
86,3,45,0.005274914
87,1,22,0.08660508
87,2,7,0.0001891398
87,3,15,0.0003369485
87,3,20,0.0001545894
87,3,41,0.03451179
87,3,45,0.005274914
88,1,22,0.08660508
88,2,7,0.0001891398
88,3,15,0.0003369485
88,3,20,0.0001545894
88,3,41,0.03451179
88,3,45,0.005274914
89,1,22,0.08660508
89,2,7,0.0001891398
89,3,15,0.0003369485
89,3,20,0.0001545894
89,3,41,0.03451179
89,3,45,0.005274914
90,1,22,0.08660508
90,2,7,0.0001891398
90,3,15,0.0003369485
90,3,20,0.0001545894
90,3,41,0.03451179
90,3,45,0.005274914
91,1,22,0.08660508
91,2,7,0.0001891398
91,3,15,0.0003369485
91,3,20,0.0001545894
91,3,41,0.03451179
91,3,45,0.005274914
92,1,22,0.08660508
92,2,7,0.0001891398
92,3,15,0.0003369485
92,3,20,0.0001545894
92,3,41,0.03451179
92,3,45,0.005274914
93,1,22,0.08660508
93,2,7,0.0001891398
93,3,15,0.0003369485
93,3,20,0.0001545894
93,3,41,0.03451179
93,3,45,0.005274914
94,1,22,0.08660508
94,2,7,0.0001891398
94,3,15,0.0003369485
94,3,20,0.0001545894
94,3,41,0.03451179
94,3,45,0.005274914
95,1,22,0.08660508
95,2,7,0.0001891398
95,3,15,0.0003369485
95,3,20,0.0001545894
95,3,41,0.03451179
95,3,45,0.005274914
96,1,22,0.08660508
96,2,7,0.0001891398
96,3,15,0.0003369485
96,3,20,0.0001545894
96,3,41,0.03451179
96,3,45,0.005274914
97,1,22,0.08660508
97,2,7,0.0001891398
97,3,15,0.0003369485
97,3,20,0.0001545894
97,3,41,0.03451179
97,3,45,0.005274914
98,1,22,0.08660508
98,2,7,0.0001891398
98,3,15,0.0003369485
98,3,20,0.0001545894
98,3,41,0.03451179
98,3,45,0.005274914
99,1,22,0.08660508
99,2,7,0.0001891398
99,3,15,0.0003369485
99,3,20,0.0001545894
99,3,41,0.03451179
99,3,45,0.005274914
100,1,22,0.08660508
100,2,7,0.0001891398
100,3,15,0.0003369485
100,3,20,0.0001545894
100,3,41,0.03451179
100,3,45,0.005274914
101,1,22,0.08660508
101,2,7,0.0001891398
101,3,15,0.0003369485
101,3,20,0.0001545894
101,3,41,0.03451179
101,3,45,0.005274914
102,1,22,0.08660508
102,2,7,0.0001891398
102,3,15,0.0003369485
102,3,20,0.0001545894
102,3,41,0.03451179
102,3,45,0.005274914
103,1,22,0.08660508
103,2,7,0.0001891398
103,3,15,0.0003369485
103,3,20,0.0001545894
103,3,41,0.03451179
103,3,45,0.005274914
104,1,22,0.08660508
104,2,7,0.0001891398
104,3,15,0.0003369485
104,3,20,0.0001545894
104,3,41,0.03451179
104,3,45,0.005274914
105,1,22,0.08660508
105,2,7,0.0001891398
105,3,15,0.0003369485
105,3,20,0.0001545894
105,3,41,0.03451179
105,3,45,0.005274914
106,1,22,0.08660508
106,2,7,0.0001891398
106,3,15,0.0003369485
106,3,20,0.0001545894
106,3,41,0.03451179
106,3,45,0.005274914
107,1,22,0.08660508
107,2,7,0.0001891398
107,3,15,0.0003369485
107,3,20,0.0001545894
107,3,41,0.03451179
107,3,45,0.005274914
